	a	b	c	d	e	f	g	h	i	j	k	l	m	n	o	p	q	r	s	t	u	v	w	x	y	z	`	-	=	[	]	;	'	,	.	/	Next Character
a	189	10368	20193	23771	128	3546	8423	604	24568	215	9031	41962	11055	99077	889	7905	46	45634	47220	71306	6511	13992	4527	997	14662	887	0	0	0	0	0	0	0	0	0	0	
b	8572	740	17	50	33232	5	2	8	4026	424	1	10942	61	103	12345	4	0	5479	1108	544	13414	400	7	0	4062	0	0	0	0	0	0	0	0	0	0	0	
c	21597	4	2036	40	23704	11	7	22094	7094	0	8848	5541	4	3	29803	4	53	6177	698	11883	3914	0	4	0	848	5	0	0	0	0	0	0	0	0	0	0	
d	9138	126	71	2188	35385	102	1316	212	19188	147	20	1932	644	4023	18958	51	30	5584	5889	46	2629	476	166	0	3501	0	0	0	0	0	0	0	0	0	0	0	
e	41032	936	15700	63977	21948	6343	3867	1378	8372	125	736	29370	16065	65544	2876	6927	1122	104530	42931	22039	560	16669	5781	6038	13055	182	0	0	0	0	0	0	0	0	0	0	
f	8634	8	52	33	10062	5907	1	8	12594	4	11	3138	0	7	23293	11	0	8409	135	4321	4026	0	64	2	318	0	0	0	0	0	0	0	0	0	0	0	
g	9135	2	2	66	17358	20	3684	17744	6971	18	2	2602	200	2309	10787	3	1	8039	2725	274	3489	0	11	0	764	6	0	0	0	0	0	0	0	0	0	0	
h	68938	172	26	135	176340	94	21	49	50551	0	15	412	293	375	26543	15	7	4236	590	11642	5389	5	72	0	3188	0	0	0	0	0	0	0	0	0	0	0	
i	7186	4094	18556	26287	14159	11458	15167	29	67	10	3877	21361	18548	107392	19872	4653	208	15806	46465	55579	339	9021	92	705	9	4433	0	0	0	0	0	0	0	0	0	0	
j	2395	0	0	0	1233	0	0	1	293	1	2	0	2	25	1413	8	0	2	0	0	4393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k	701	45	4	16	19025	107	55	134	7072	13	6	988	28	7498	697	15	0	277	1909	234	80	2	148	0	360	1	0	0	0	0	0	0	0	0	0	0	
l	21998	102	283	22013	41896	4003	143	303	27553	6	1992	39716	1570	142	21269	1338	1	882	3922	3189	3662	1399	1053	1	24988	2	0	0	0	0	0	0	0	0	0	0	
m	24908	2976	39	63	36136	272	3	3	15107	0	0	334	2814	404	14799	8192	0	513	3391	28	5701	7	12	0	6038	1	0	0	0	0	0	0	0	0	0	0	
n	8697	223	12419	70674	37670	1839	53017	1112	11804	229	4768	4793	444	3280	36604	175	142	172	14421	36520	2610	1491	304	119	6467	366	0	0	0	0	0	0	0	0	0	0	
o	1864	4871	3818	8503	2023	36169	3033	861	5397	150	6940	14838	24907	67358	17302	7741	24	52763	12775	26595	80987	7993	24936	492	3015	387	0	0	0	0	0	0	0	0	0	0	
p	10818	45	15	20	23045	48	3	2028	5889	1	4	11575	132	51	12680	6167	0	11219	3016	3569	4174	0	122	0	555	0	0	0	0	0	0	0	0	0	0	0	
q	19	4	0	0	0	0	0	1	685	0	0	0	1	0	3	0	4	1	0	9	6341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
r	23212	909	3402	8858	85661	1321	3223	875	23998	10	3416	4931	6114	5965	30420	1353	7	5719	18775	12861	5843	1809	749	2	10931	68	0	0	0	0	0	0	0	0	0	0	
s	20398	399	5664	162	39634	426	97	22299	19311	7	3611	3381	2957	3010	18963	10285	549	91	14862	47258	10785	4	1850	0	1715	5	0	0	0	0	0	0	0	0	0	0	
t	20741	46	2002	18	46233	306	19	185050	37437	2	0	7100	506	698	57328	64	0	17754	9735	10024	7808	24	3589	0	6340	260	0	0	0	0	0	0	0	0	0	0	
u	4319	2246	5497	3079	4997	809	10656	122	4774	2	46	20146	5654	18699	232	7255	1	23722	22432	27612	33	260	5	82	311	158	0	0	0	0	0	0	0	0	0	0	
v	4968	1	0	8	43390	4	2	1	11850	0	0	13	1	5	2828	1	0	10	3	1	63	8	7	0	222	0	0	0	0	0	0	0	0	0	0	0	
w	37408	17	16	219	25539	48	5	24753	20339	0	62	1032	6	4932	16782	8	0	1592	1302	50	84	0	25	0	448	1	0	0	0	0	0	0	0	0	0	0	
x	722	13	999	20	585	0	0	119	1068	2	0	3	1	2	40	2151	10	0	1	1136	106	1	30	254	598	0	0	0	0	0	0	0	0	0	0	0	
y	582	1260	530	38	7773	35	72	14	2253	4	14	1081	399	155	32418	462	0	281	4478	2081	3	0	489	5	5	81	0	0	0	0	0	0	0	0	0	0	
z	427	0	1	1	4961	0	0	0	473	0	0	130	1	0	489	0	0	0	0	0	140	11	0	1	307	269	0	0	0	0	0	0	0	0	0	0	
`	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
