 0.000000e+000, 8.488864e-003, 0.000000e+000,-4.571039e-004, 1.054945e+006, 0.000000e+000,-5.718062e+002, 2.731279e-002, 1.479841e+009, 5.000000e-001, 1.000000e+000, 3.631441e+002, 1.000000e+000,-4.832675e+000, 0.000000e+000,-2.024222e-001,-3.814350e-002, 3.004632e-003, 5.000000e-001, 5.000000e-001, 0.000000e+000,-7.373855e-004,-2.118884e+006,-2.921931e+003, 1.000000e+000,-3.598063e-003, 0.000000e+000,-6.316817e+001, 5.000656e-001, 7.117809e+000, 0.000000e+000, 1.000000e+000,-1.369376e-003,
 8.490019e-003, 0.000000e+000, 1.157232e-002, 1.054945e+006, 1.#INF00e+000,-3.903875e+001, 2.777078e-002,-1.#INF00e+000, 0.000000e+000, 0.000000e+000, 1.#INF00e+000, 1.#INF00e+000, 1.186900e-008, 0.000000e+000, 3.215170e-003, 6.376191e+002, 1.691149e+001, 3.257649e-018, 1.000000e+000, 1.098668e-004, 1.411993e+000,-8.765126e+002, 1.#INF00e+000, 0.000000e+000, 2.706361e+000, 1.360732e+010, 6.653088e+006, 0.000000e+000,-1.#INF00e+000, 9.530107e+002, 0.000000e+000, 2.475958e+009,
 1.#INF00e+000, 0.000000e+000, 1.#INF00e+000, 0.000000e+000, 1.#INF00e+000,-5.718062e+002, 1.234560e-001, 1.#INF00e+000, 1.234560e-001, 0.000000e+000, 1.#INF00e+000, 1.#INF00e+000, 1.#INF00e+000, 0.000000e+000, 1.#INF00e+000,-1.#INF00e+000,-1.891091e+003, 0.000000e+000, 1.000000e+000, 0.000000e+000, 1.234560e-001, 1.#INF00e+000,-3.898354e+003, 1.#INF00e+000,-1.#INF00e+000, 1.234560e-001, 1.#INF00e+000, 0.000000e+000,-1.#INF00e+000, 9.526550e+002, 6.935989e-001, 1.#INF00e+000,
 1.#INF00e+000, 0.000000e+000, 1.030115e-001, 7.820579e+002,-1.969974e+003, 1.#INF00e+000, 1.234560e-001,-1.#INF00e+000, 1.234560e-001, 0.000000e+000,-1.#INF00e+000, 1.234560e-001, 0.000000e+000, 0.000000e+000,-2.024705e-001, 1.#INF00e+000, 1.234560e-001, 0.000000e+000, 1.000000e+000, 1.494594e-005, 0.000000e+000,-2.118289e+006,-0.000000e+000, 1.#INF00e+000, 1.#INF00e+000, 1.#INF00e+000, 1.#INF00e+000, 1.000000e+000, 1.565864e+006, 9.527045e+002, 6.943216e-001,-1.#INF00e+000,
-1.#INF00e+000, 0.000000e+000, 1.#INF00e+000, 0.000000e+000,-1.969974e+003,-3.557752e+002, 1.#INF00e+000,-1.#INF00e+000, 1.234560e-001, 1.#INF00e+000,-1.#INF00e+000, 0.000000e+000, 1.234560e-001, 0.000000e+000, 1.234560e-001, 1.#INF00e+000,-1.#INF00e+000, 1.234560e-001, 1.000000e+000, 1.210629e-004, 0.000000e+000,-2.118884e+006,-2.922181e+003, 1.#INF00e+000,-1.#INF00e+000,-1.#INF00e+000, 9.677761e+003, 0.000000e+000, 7.013633e+000, 9.527045e+002, 9.204216e-001, 1.#INF00e+000,
 1.#INF00e+000, 0.000000e+000, 1.#INF00e+000, 0.000000e+000, 1.#INF00e+000,-2.054480e+002, 1.234560e-001,-1.#INF00e+000, 1.000000e+000, 1.#INF00e+000,-1.#INF00e+000, 0.000000e+000,-0.000000e+000, 0.000000e+000, 1.#INF00e+000, 1.#INF00e+000,-1.#INF00e+000, 1.933093e-006, 1.000000e+000, 0.000000e+000, 0.000000e+000, 1.#INF00e+000,-0.000000e+000, 1.#INF00e+000,-1.#INF00e+000, 1.234560e-001, 1.#INF00e+000, 0.000000e+000, 7.117809e+000, 9.534163e+002, 1.100748e-001,-1.#INF00e+000,
 1.#INF00e+000, 0.000000e+000, 1.#INF00e+000,-1.732604e-001,-1.969974e+003,-1.#INF00e+000, 1.#INF00e+000,-1.#INF00e+000, 1.234560e-001, 1.234560e-001, 1.#INF00e+000, 1.234560e-001,-0.000000e+000, 0.000000e+000,-0.000000e+000,-1.#INF00e+000, 1.234560e-001, 1.000000e+000, 1.000000e+000, 1.494594e-005,-0.000000e+000,-2.118289e+006,-0.000000e+000, 6.489072e-002,-1.#INF00e+000, 1.234560e-001,-1.#INF00e+000, 0.000000e+000, 7.044924e+000, 9.534163e+002, 1.#INF00e+000, 1.#INF00e+000,
 1.#INF00e+000, 0.000000e+000, 1.#INF00e+000,-0.000000e+000,-1.969974e+003,-5.718062e+002, 1.#INF00e+000,-1.#INF00e+000, 1.234560e-001, 1.#INF00e+000,-1.#INF00e+000, 0.000000e+000, 0.000000e+000, 0.000000e+000, 1.#INF00e+000,-1.#INF00e+000, 1.234560e-001, 0.000000e+000, 1.000000e+000, 1.494594e-005, 0.000000e+000, 1.#INF00e+000,-0.000000e+000, 6.489263e-002,-1.#INF00e+000, 1.234560e-001, 9.677761e+003, 1.000000e+000, 7.013633e+000, 9.527045e+002, 6.943216e-001,-1.#INF00e+000,
 1.#INF00e+000, 0.000000e+000, 6.246019e+006, 0.000000e+000,-1.969974e+003,-9.403773e+001, 1.234560e-001,-1.#INF00e+000, 1.000000e+000, 1.234560e-001, 1.#INF00e+000, 1.234560e-001, 1.234560e-001, 0.000000e+000, 1.234560e-001, 1.#INF00e+000, 1.#INF00e+000, 1.472735e-006, 4.739984e-005, 1.210629e-004,-3.068395e-004,-4.391810e+002,-3.386657e+003, 1.#INF00e+000,-1.#INF00e+000, 1.234560e-001, 1.#INF00e+000, 0.000000e+000, 7.013633e+000, 9.526550e+002, 6.281070e+000,-1.#INF00e+000,
 1.#INF00e+000, 0.000000e+000, 1.#INF00e+000,-1.732604e-001, 2.959320e+002,-3.385944e+002,-1.#INF00e+000,-1.#INF00e+000, 1.234560e-001, 1.#INF00e+000, 1.#INF00e+000, 1.234560e-001,-2.625395e+000, 0.000000e+000, 1.234560e-001, 1.#INF00e+000, 1.#INF00e+000, 0.000000e+000, 4.738208e-005, 1.494594e-005, 3.483569e+003, 1.#INF00e+000,-2.922181e+003, 1.#INF00e+000, 1.#INF00e+000, 1.234560e-001,-1.#INF00e+000, 0.000000e+000, 7.044924e+000, 9.526550e+002, 6.933865e-001,-1.#INF00e+000,
-1.#INF00e+000, 0.000000e+000, 1.#INF00e+000, 0.000000e+000, 2.959320e+002,-2.805435e+002, 1.234560e-001, 1.#INF00e+000, 1.234560e-001, 1.234560e-001, 1.#INF00e+000, 1.#INF00e+000, 1.068365e+000, 0.000000e+000, 1.234560e-001,-1.#INF00e+000, 1.234560e-001, 1.000000e+000, 1.000000e+000, 1.494594e-005, 3.116323e+003,-2.118289e+006, 0.000000e+000, 1.#INF00e+000, 1.#INF00e+000, 1.234560e-001,-1.#INF00e+000, 1.000000e+000, 7.149566e+000, 9.534163e+002, 2.233084e-001,-1.#INF00e+000,
 8.457594e-003, 0.000000e+000, 1.#INF00e+000,-0.000000e+000, 1.#INF00e+000,-2.489124e+002, 1.234560e-001, 1.#INF00e+000, 1.234560e-001, 1.234560e-001,-2.843419e+008, 1.234560e-001, 1.234560e-001, 0.000000e+000, 1.234560e-001, 1.#INF00e+000, 1.234560e-001, 1.000000e+000, 1.000000e+000, 1.494594e-005, 1.#INF00e+000, 1.#INF00e+000,-1.#INF00e+000, 1.#INF00e+000,-1.#INF00e+000, 1.234560e-001, 9.677761e+003, 1.000000e+000, 7.044924e+000, 9.526550e+002, 1.282261e+001,-1.#INF00e+000,
 8.455578e-003, 0.000000e+000, 9.639393e-003,-1.732516e-001,-1.969974e+003,-1.243323e+002, 1.#INF00e+000, 1.#INF00e+000, 1.234560e-001, 1.#INF00e+000, 7.531736e+009, 1.#INF00e+000,-0.000000e+000, 0.000000e+000,-1.881990e-001,-1.#INF00e+000, 1.234560e-001, 1.000000e+000, 1.000000e+000, 0.000000e+000, 1.#INF00e+000,-2.118289e+006,-1.#INF00e+000, 1.234560e-001, 1.#INF00e+000, 1.234560e-001, 1.#INF00e+000, 1.000000e+000, 7.149566e+000, 9.533667e+002, 7.940234e-002,-1.#INF00e+000,
-1.#INF00e+000, 0.000000e+000, 1.#INF00e+000,-0.000000e+000,-1.805802e+004,-5.718062e+002, 1.234560e-001, 1.#INF00e+000, 1.234560e-001, 1.234560e-001, 1.#INF00e+000, 1.#INF00e+000, 1.068365e+000, 0.000000e+000,-0.000000e+000, 1.#INF00e+000, 1.234560e-001, 1.234560e-001, 4.740223e-005, 0.000000e+000, 1.234560e-001,-4.391810e+002, 6.105754e-004, 0.000000e+000, 1.#INF00e+000, 1.234560e-001,-1.#INF00e+000, 0.000000e+000, 7.044924e+000, 9.533667e+002, 1.#INF00e+000, 1.#INF00e+000,
