1.0e+000 iterations:    pi = 2.666666666667
2.0e+000 iterations:    pi = 2.844444444444
4.0e+000 iterations:    pi = 2.972154195011
8.0e+000 iterations:    pi = 3.050589996056
1.6e+001 iterations:    pi = 3.094358723287
3.2e+001 iterations:    pi = 3.117520210640
6.4e+001 iterations:    pi = 3.129439627180
1.3e+002 iterations:    pi = 3.135486562736
2.6e+002 iterations:    pi = 3.138532166092
5.1e+002 iterations:    pi = 3.140060543327
1.0e+003 iterations:    pi = 3.140826131078
2.0e+003 iterations:    pi = 3.141209275395
4.1e+003 iterations:    pi = 3.141400935246
8.2e+003 iterations:    pi = 3.141496787105
1.6e+004 iterations:    pi = 3.141544718519
3.3e+004 iterations:    pi = 3.141568685597
6.6e+004 iterations:    pi = 3.141580669479
1.3e+005 iterations:    pi = 3.141586661506
2.6e+005 iterations:    pi = 3.141589657541
5.2e+005 iterations:    pi = 3.141591155563
1.0e+006 iterations:    pi = 3.141591904576
2.1e+006 iterations:    pi = 3.141592279083
4.2e+006 iterations:    pi = 3.141592466336
8.4e+006 iterations:    pi = 3.141592559963
1.7e+007 iterations:    pi = 3.141592606776
3.4e+007 iterations:    pi = 3.141592630183
6.7e+007 iterations:    pi = 3.141592641886
1.3e+008 iterations:    pi = 3.141592647738
2.7e+008 iterations:    pi = 3.141592650664
5.4e+008 iterations:    pi = 3.141592652128
1.1e+009 iterations:    pi = 3.141592652856
