Seconds=   0.000	



== PROGRAM START ======================================================




Seconds=   0.366	ssv_file_get_column() sent [col] greater than or equal to the number of columns in [f]! f->columbs =	9
Seconds=   0.367	ssv_file_get_column() col = 	9
Seconds=   0.367	ssv_plot_zoom_fit() couldn't get column top for y! ssv_file_get_column_top() returned NULL!
Seconds=   0.367	ssv_file_get_value() could not navigate columns!
Seconds=   0.367	ssv_file_get_value() could not navigate columns!
Seconds=   0.368	ssv_file_get_value() could not navigate columns!
Seconds=   0.368	ssv_file_get_value() could not navigate columns!
Seconds=   0.368	ssv_file_get_value() could not navigate columns!
Seconds=   0.368	ssv_file_get_value() could not navigate columns!
Seconds=   0.368	ssv_file_get_value() could not navigate columns!
Seconds=   0.368	ssv_file_get_value() could not navigate columns!
Seconds=   0.369	ssv_file_get_value() could not navigate columns!
Seconds=   0.369	ssv_file_get_value() could not navigate columns!
Seconds=   0.369	ssv_file_get_value() could not navigate columns!
Seconds=   0.369	ssv_file_get_value() could not navigate columns!
Seconds=   0.369	ssv_file_get_value() could not navigate columns!
Seconds=   0.369	ssv_file_get_value() could not navigate columns!
Seconds=   0.369	ssv_file_get_value() could not navigate columns!
Seconds=   0.370	ssv_file_get_value() could not navigate columns!
Seconds=   0.370	ssv_file_get_value() could not navigate columns!
Seconds=   0.370	ssv_file_get_value() could not navigate columns!
Seconds=   0.370	ssv_file_get_value() could not navigate columns!
Seconds=   0.370	ssv_file_get_value() could not navigate columns!
Seconds=   0.371	ssv_file_get_value() could not navigate columns!
Seconds=   0.371	ssv_file_get_value() could not navigate columns!
Seconds=   0.371	ssv_file_get_value() could not navigate columns!
Seconds=   0.371	ssv_file_get_value() could not navigate columns!
Seconds=   0.371	ssv_file_get_value() could not navigate columns!
Seconds=   0.372	ssv_file_get_value() could not navigate columns!
Seconds=   0.372	ssv_file_get_value() could not navigate columns!
Seconds=   0.372	ssv_file_get_value() could not navigate columns!
Seconds=   0.372	ssv_file_get_value() could not navigate columns!
Seconds=   0.372	ssv_file_get_value() could not navigate columns!
Seconds=   0.372	ssv_file_get_value() could not navigate columns!
Seconds=   0.373	ssv_file_get_value() could not navigate columns!
Seconds=   0.373	ssv_file_get_value() could not navigate columns!
Seconds=   0.373	ssv_file_get_value() could not navigate columns!
Seconds=   0.373	ssv_file_get_value() could not navigate columns!
Seconds=   0.373	ssv_file_get_value() could not navigate columns!
Seconds=   0.374	ssv_file_get_value() could not navigate columns!
Seconds=   0.374	ssv_file_get_value() could not navigate columns!
Seconds=   0.374	ssv_file_get_value() could not navigate columns!
Seconds=   0.375	ssv_file_get_value() could not navigate columns!
Seconds=   0.375	ssv_file_get_value() could not navigate columns!
Seconds=   0.375	ssv_file_get_value() could not navigate columns!
Seconds=   0.375	ssv_file_get_value() could not navigate columns!
Seconds=   0.378	ssv_file_get_value() could not navigate columns!
Seconds=   0.378	ssv_file_get_value() could not navigate columns!
Seconds=   0.378	ssv_file_get_value() could not navigate columns!
Seconds=   0.378	ssv_file_get_value() could not navigate columns!
Seconds=   0.379	ssv_file_get_value() could not navigate columns!
Seconds=   0.379	ssv_file_get_value() could not navigate columns!
